lat,lon,name,amenity,category,neighbourhood
49.2622376,-123.1012945,Sunny Spot,cafe,food/drink,Mount Pleasant
49.2789626,-123.132118,,car_sharing,cars,West End
49.2817618,-123.1302562,,car_sharing,cars,West End
49.2823816,-123.1312193,,car_sharing,cars,West End
49.2481556,-123.1008994,Yum Sweet Shop,ice_cream,food/drink,Riley Park
49.2788885,-123.1286414,,car_sharing,cars,Downtown
49.255696,-123.0896525,Bells And Whistles,restaurant,food/drink,Kensington-Cedar Cottage
49.2559475,-123.0877967,Thanh Thanh,restaurant,food/drink,Kensington-Cedar Cottage
49.2826274,-123.1252133,Le Crocrodile,restaurant,food/drink,West End
49.2638283,-123.1413786,Earls,restaurant,food/drink,Fairview
49.2634479,-123.1380669,McDonald's,fast_food,food/drink,Fairview
49.2340385,-123.1158694,CIBC,bank,money,Riley Park
49.2345812,-123.1157037,Vancity,bank,money,Riley Park
49.2267483,-123.128868,A&W,fast_food,food/drink,Oakridge
49.2342169,-123.1276449,Petro-Canada,fuel,cars,South Cambie
49.2835819,-123.1040678,Local Public Eatery,restaurant,food/drink,Downtown
49.2832515,-123.105379,Gringo,bar,food/drink,Downtown
49.2796709,-123.1221195,Harvey's,fast_food,food/drink,Downtown
49.2475507,-123.1013532,Restaurant Yugo,restaurant,food/drink,Riley Park
49.2332678,-123.1012746,Subway,fast_food,food/drink,Riley Park
49.2347512,-123.1582643,Tim Hortons,cafe,food/drink,Arbutus Ridge
49.2734049,-123.1582825,Kitsilano Showboat,theatre,arts/culture,Kitsilano
49.2729377,-123.0997917,Starbucks,cafe,food/drink,Strathcona
49.247577,-123.1850924,Shoppers Drug Mart,pharmacy,healthcare,Dunbar-Southlands
49.2739585,-123.0980509,A&W,fast_food,food/drink,Strathcona
49.2730825,-123.1039764,White Spot Triple O's,fast_food,food/drink,Downtown
49.26437,-123.1674354,Starbucks,cafe,food/drink,Kitsilano
49.2600139,-123.1153253,"Yuck, Yucks Comedy Club",theatre,arts/culture,Fairview
49.2838013,-123.1158299,Urban Sushi,fast_food,food/drink,Downtown
49.283684,-123.1159815,Caffe Artigiano,cafe,food/drink,Downtown
49.2848065,-123.1143227,Trees Coffee,cafe,food/drink,Downtown
49.2847372,-123.1144476,Creme de la Crumb,cafe,food/drink,Downtown
49.2714968,-123.1006411,Dubh Linn Gate,pub,food/drink,Mount Pleasant
49.2730334,-123.1003915,A&W,fast_food,food/drink,Downtown
49.2814148,-123.1194673,Café Crêpe,cafe,food/drink,Downtown
49.28125,-123.085345,Writer's Exchange,childcare,education/childcare,Strathcona
49.2881125,-123.1146371,,cafe,food/drink,Downtown
49.2716466,-123.1350547,,atm,money,Fairview
49.2716398,-123.1350735,,atm,money,Fairview
49.269267,-123.138821,Afghan Horsemen Restaurant,restaurant,food/drink,Fairview
49.2768255,-123.1188266,,charging_station,cars,Downtown
49.2763417,-123.119189,Yaletown Laser Centre,dentist,healthcare,Downtown
49.2764454,-123.1195159,Tacofino,restaurant,food/drink,Downtown
49.2763998,-123.1196013,West Oak,restaurant,food/drink,Downtown
49.2760785,-123.1195802,Enamel,dentist,healthcare,Downtown
49.2760414,-123.1196355,Chasers,cafe,food/drink,Downtown
49.2759204,-123.1203048,Wild Tale,restaurant,food/drink,Downtown
49.2756829,-123.120168,Lime & Moon Pie Company,cafe,food/drink,Downtown
49.278575,-123.1141123,Fanny Bay Oyster Bar,restaurant,food/drink,Downtown
49.2773179,-123.1171798,Vancouver English Centre,school,education/childcare,Downtown
49.2762885,-123.1197566,The Greek by Anatoli,restaurant,food/drink,Downtown
49.2764887,-123.1189668,Subway,fast_food,food/drink,Downtown
49.2764101,-123.1190813,Coffee House,cafe,food/drink,Downtown
49.2590457,-123.1389288,KYO Korean BBQ & Sushi house,restaurant,food/drink,Fairview
49.2898003,-123.1168924,Tap & Barrel,pub,food/drink,Downtown
49.2790349,-123.1235947,Johnnie Fox's,bar,food/drink,Downtown
